method,n,alpha,B,delta,trial,reject,runtime
exact_sample,50000,0.03,100,0.05,1,1,3665.8528033330804
exact_sample,50000,0.03,100,0.05,0,1,3665.892175416928
exact_sample,50000,0.03,100,0.05,3,0,3620.461029874976
exact_sample,50000,0.03,100,0.05,2,0,3621.0113767500734
exact_sample,50000,0.03,100,0.05,4,1,3618.967958125053
exact_sample,50000,0.03,100,0.05,5,1,3619.840767583926
exact_sample,50000,0.03,100,0.05,6,1,3596.4928501249524
exact_sample,50000,0.03,100,0.05,7,1,3597.6901207920164
exact_sample,100000,0.03,100,0.05,4,1,14513.687565917033
exact_sample,100000,0.03,100,0.05,1,1,14525.672164208023
exact_sample,100000,0.03,100,0.05,3,1,14526.66979033302
exact_sample,100000,0.03,100,0.05,0,1,14532.698499709019
exact_sample,100000,0.03,100,0.05,2,1,14534.427076707943
exact_sample,20000,0.03,100,0.05,0,1,576.4898176250281
exact_sample,20000,0.03,100,0.05,1,1,575.3318583749933
exact_sample,20000,0.03,100,0.05,2,1,575.9283844169695
exact_sample,20000,0.03,100,0.05,3,1,576.0531098750653
exact_sample,20000,0.03,100,0.05,4,1,575.8954678329173
exact_sample,20000,0.03,100,0.05,5,0,572.586193749914
exact_sample,20000,0.03,100,0.05,6,0,572.5227932089474
exact_sample,20000,0.03,100,0.05,7,0,572.6430452909553
exact_sample,20000,0.03,100,0.05,8,1,573.5833553749835
exact_sample,20000,0.03,100,0.05,9,1,572.9705351250013
exact_sample,10000,0.03,100,0.05,0,0,143.1903417080175
exact_sample,10000,0.03,100,0.05,1,0,143.35809650004376
exact_sample,10000,0.03,100,0.05,2,0,143.2921012500301
exact_sample,10000,0.03,100,0.05,3,0,143.26040579099208
exact_sample,10000,0.03,100,0.05,4,0,143.24522074998822
exact_sample,10000,0.03,100,0.05,5,0,143.20071341702715
exact_sample,10000,0.03,100,0.05,6,0,143.15810770797543
exact_sample,10000,0.03,100,0.05,7,0,143.21567170799244
exact_sample,10000,0.03,100,0.05,8,0,143.2549325840082
exact_sample,10000,0.03,100,0.05,9,0,143.31515491590835
exact_sample,10000,0.1,100,0.05,0,1,145.29801012494136
exact_sample,10000,0.1,100,0.05,1,1,145.41391841706354
exact_sample,10000,0.1,100,0.05,2,1,145.60320324997883
exact_sample,10000,0.1,100,0.05,3,1,145.53289179201238
exact_sample,10000,0.1,100,0.05,4,1,145.69632608408574
exact_sample,10000,0.1,100,0.05,5,1,143.92894979100674
exact_sample,10000,0.1,100,0.05,6,1,143.75197229196783
exact_sample,10000,0.1,100,0.05,7,1,143.7628593329573
exact_sample,10000,0.1,100,0.05,8,1,143.60173162503634
exact_sample,10000,0.1,100,0.05,9,1,143.79160758294165
exact_sample,5000,0.03,100,0.05,0,0,35.83459966699593
exact_sample,5000,0.03,100,0.05,1,0,35.814888249966316
exact_sample,5000,0.03,100,0.05,2,0,35.84650095796678
exact_sample,5000,0.03,100,0.05,3,0,35.8217319160467
exact_sample,5000,0.03,100,0.05,4,0,35.88423029193655
exact_sample,5000,0.03,100,0.05,5,0,35.981995290960185
exact_sample,5000,0.03,100,0.05,6,0,36.39096774999052
exact_sample,5000,0.03,100,0.05,7,0,36.32473541703075
exact_sample,5000,0.03,100,0.05,8,0,36.68958720797673
exact_sample,5000,0.03,100,0.05,9,0,36.93129995802883
exact_sample,5000,0.1,100,0.05,0,0,38.78912450000644
exact_sample,5000,0.1,100,0.05,1,1,38.993336874991655
exact_sample,5000,0.1,100,0.05,2,1,39.19660666701384
exact_sample,5000,0.1,100,0.05,3,1,38.950389125035144
exact_sample,5000,0.1,100,0.05,4,1,38.84990499995183
exact_sample,5000,0.1,100,0.05,5,1,36.79087174998131
exact_sample,2000,0.03,100,0.05,0,0,5.563916958053596
exact_sample,5000,0.1,100,0.05,6,1,35.90832245792262
exact_sample,2000,0.03,100,0.05,1,0,5.551163750002161
exact_sample,5000,0.1,100,0.05,7,1,35.941319082980044
exact_sample,2000,0.03,100,0.05,2,0,5.566055375034921
exact_sample,2000,0.03,100,0.05,3,0,5.536018791026436
exact_sample,2000,0.03,100,0.05,4,0,5.559803958050907
exact_sample,5000,0.1,100,0.05,8,1,35.73056287493091
exact_sample,5000,0.1,100,0.05,9,1,35.71364591596648
exact_sample,2000,0.03,100,0.05,5,0,5.565919999964535
exact_sample,2000,0.03,100,0.05,6,0,5.577883291989565
exact_sample,2000,0.03,100,0.05,7,0,5.565572583931498
exact_sample,2000,0.03,100,0.05,8,0,5.562605291954242
exact_sample,2000,0.03,100,0.05,9,0,5.540190791012719
exact_sample,2000,0.1,100,0.05,0,1,5.540942374966107
exact_sample,2000,0.1,100,0.05,1,1,5.532589457929134
exact_sample,2000,0.1,100,0.05,2,0,5.5466123330406845
exact_sample,2000,0.1,100,0.05,3,1,5.534064625040628
exact_sample,2000,0.1,100,0.05,4,0,5.554382125032134
exact_sample,2000,0.1,100,0.05,5,0,5.561094874981791
exact_sample,2000,0.1,100,0.05,6,0,5.553229875047691
exact_sample,1000,0.03,100,0.05,0,0,1.313344250083901
exact_sample,1000,0.03,100,0.05,1,0,1.3089811248937622
exact_sample,2000,0.1,100,0.05,7,0,5.526958875008859
exact_sample,1000,0.03,100,0.05,2,0,1.3110685410210863
exact_sample,1000,0.03,100,0.05,3,0,1.3123551669996232
exact_sample,2000,0.1,100,0.05,8,0,5.542289625038393
exact_sample,1000,0.03,100,0.05,4,0,1.3092722500441596
exact_sample,1000,0.03,100,0.05,5,0,1.3030066249193624
exact_sample,1000,0.03,100,0.05,6,0,1.313331582932733
exact_sample,1000,0.03,100,0.05,7,1,1.299944541999139
exact_sample,1000,0.03,100,0.05,8,0,1.3046778329880908
exact_sample,2000,0.1,100,0.05,9,1,5.546807125094347
exact_sample,1000,0.03,100,0.05,9,0,1.3012260419782251
exact_sample,1000,0.1,100,0.05,0,0,1.328677291981876
exact_sample,1000,0.1,100,0.05,1,0,1.3362676659598947
exact_sample,1000,0.1,100,0.05,2,1,1.338999708998017
exact_sample,1000,0.1,100,0.05,3,0,1.3396042080130428
exact_sample,1000,0.1,100,0.05,4,0,1.3688346249982715
exact_sample,1000,0.1,100,0.05,5,0,1.384475375059992
exact_sample,1000,0.1,100,0.05,6,0,1.38329929090105
exact_sample,1000,0.1,100,0.05,7,0,1.3698560409247875
exact_sample,1000,0.1,100,0.05,8,0,1.36293912504334
exact_sample,1000,0.1,100,0.05,9,0,1.3417100830702111
exact_sample,50000,0.03,100,0.05,8,1,3545.585532750003
exact_sample,50000,0.03,100,0.05,9,1,3544.5042355830083
exact_sample,20000,0.1,100,0.05,0,1,656.856025999994
exact_sample,20000,0.1,100,0.05,1,1,657.7520143749425
exact_sample,20000,0.1,100,0.05,2,1,643.1071612921078
exact_sample,20000,0.1,100,0.05,3,1,656.9238002090715
exact_sample,20000,0.1,100,0.05,4,1,613.1366739169462
exact_sample,20000,0.1,100,0.05,5,1,657.6623077921104
exact_sample,20000,0.1,100,0.05,6,1,656.8579181659734
exact_sample,20000,0.1,100,0.05,7,1,654.8365542918909
exact_sample,20000,0.1,100,0.05,8,1,612.3170922090067
exact_sample,20000,0.1,100,0.05,9,1,656.3311727079563
exact_sample,100000,0.03,100,0.05,5,1,19459.007388624945
exact_sample,100000,0.03,100,0.05,6,1,19470.439213207923
exact_sample,100000,0.03,100,0.05,7,1,19456.6099579999
exact_sample,100000,0.03,100,0.05,8,1,19465.999897500034
exact_sample,100000,0.03,100,0.05,9,1,19479.391503124963
