method,n,alpha,B,delta,Z,rejection_rate,ci_low,ci_high,avg_runtime
sss,1000,0.4,100,0.05,20,1.0,0.8388698745050667,1.0,0.014225449902005494
sss,2000,0.4,100,0.05,20,1.0,0.8388698745050667,1.0,0.03706305415253155
sss,1000,0.3,100,0.05,20,1.0,0.8388698745050667,1.0,0.014132160181179642
sss,2000,0.3,100,0.05,20,1.0,0.8388698745050667,1.0,0.03686378968413919
sss,1000,0.2,100,0.05,20,0.85,0.6395767041130426,0.9476322080405041,0.015145699959248304
sss,2000,0.2,100,0.05,20,1.0,0.8388698745050667,1.0,0.03710679799551144
sss,5000,0.2,100,0.05,20,1.0,0.8388698745050667,1.0,0.08421804578974842
sss,1000,0.1,100,0.05,20,0.15,0.05236779195949584,0.36042329588695743,0.013742527092108502
sss,2000,0.1,100,0.05,20,0.55,0.3420820083075997,0.7418049791429071,0.03860041036969051
sss,5000,0.1,100,0.05,20,0.95,0.7638641064874331,0.9911187805671268,0.08403400215320289
sss,10000,0.1,100,0.05,20,1.0,0.8388698745050667,1.0,0.18607336660497822
sss,20000,0.1,100,0.05,20,1.0,0.8388698745050667,1.0,0.3679137313563842
sss,1000,0.07,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.013743916829116642
sss,2000,0.07,100,0.05,20,0.4,0.21880396741419272,0.613422057684794,0.03733373326249421
sss,5000,0.07,100,0.05,20,0.55,0.3420820083075997,0.7418049791429071,0.08619451450649648
sss,10000,0.07,100,0.05,20,0.95,0.7638641064874331,0.9911187805671268,0.18733440011856145
sss,20000,0.07,100,0.05,20,1.0,0.8388698745050667,1.0,0.37481226869276724
sss,50000,0.07,100,0.05,20,1.0,0.8388698745050667,1.0,0.9544052665412892
sss,1000,0.05,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,0.01369215429876931
sss,2000,0.05,100,0.05,20,0.3,0.14547527396899385,0.5189767762289793,0.037472539447480815
sss,5000,0.05,100,0.05,20,0.5,0.2992949144298199,0.7007050855701801,0.08834969379240647
sss,10000,0.05,100,0.05,20,0.5,0.2992949144298199,0.7007050855701801,0.18737887511379087
sss,20000,0.05,100,0.05,20,0.9,0.6989617935882066,0.9721341060158468,0.3619723543466534
sss,50000,0.05,100,0.05,20,1.0,0.8388698745050667,1.0,0.9281333729624748
sss,100000,0.05,100,0.05,20,1.0,0.8388698745050667,1.0,2.2585196562169587
sss,1000,0.04,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,0.013999510335270315
sss,2000,0.04,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.03700498524704017
sss,5000,0.04,100,0.05,20,0.35,0.18118954786794464,0.5671494897805354,0.0884397895890288
sss,10000,0.04,100,0.05,20,0.35,0.18118954786794464,0.5671494897805354,0.18607906448887662
sss,20000,0.04,100,0.05,20,0.65,0.43285051021946463,0.8188104521320554,0.36187147289747373
sss,50000,0.04,100,0.05,20,1.0,0.8388698745050667,1.0,0.9319392875477206
sss,100000,0.04,100,0.05,20,1.0,0.8388698745050667,1.0,2.262647670810111
sss,1000,0.03,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,0.013891606254037469
