method,n,alpha,B,delta,trial,reject,runtime
sss,150000,0.03,100,0.05,0,1,3.5124831250868738
sss,150000,0.03,100,0.05,1,1,3.447362000006251
sss,150000,0.03,100,0.05,2,1,3.4846812499454245
sss,150000,0.03,100,0.05,3,1,3.5372457089833915
sss,150000,0.03,100,0.05,4,1,3.4761569580296054
sss,150000,0.03,100,0.05,5,1,3.558893832960166
sss,150000,0.03,100,0.05,6,1,3.592384709045291
sss,150000,0.03,100,0.05,7,1,3.589975000009872
sss,150000,0.03,100,0.05,8,1,3.4783440409228206
sss,150000,0.03,100,0.05,9,1,3.546970082912594
sss,150000,0.03,100,0.05,10,1,3.5621055000228807
sss,150000,0.03,100,0.05,11,1,3.5026592920767143
sss,150000,0.03,100,0.05,12,1,3.4847323750145733
sss,150000,0.03,100,0.05,13,1,3.5357750420225784
sss,150000,0.03,100,0.05,14,1,3.5593987910542637
sss,150000,0.03,100,0.05,15,1,3.6285649579949677
sss,150000,0.03,100,0.05,16,1,3.547769291093573
sss,150000,0.03,100,0.05,17,1,3.5293078750837594
sss,150000,0.03,100,0.05,18,1,3.4891982910921797
sss,150000,0.03,100,0.05,19,1,3.5243199160322547
sss,150000,0.02,100,0.05,0,0,3.508303040987812
sss,150000,0.02,100,0.05,1,1,3.5257225000532344
sss,150000,0.02,100,0.05,2,1,3.492977499961853
sss,150000,0.02,100,0.05,3,1,3.5387858340982348
sss,150000,0.02,100,0.05,4,1,3.537206708919257
sss,150000,0.02,100,0.05,5,1,3.4948867079801857
sss,150000,0.02,100,0.05,6,1,3.5277343329507858
sss,150000,0.02,100,0.05,7,1,3.4940140419639647
sss,150000,0.02,100,0.05,8,1,3.539988667005673
sss,150000,0.02,100,0.05,9,1,3.5079130419762805
sss,150000,0.02,100,0.05,10,1,3.5310215420322493
sss,150000,0.02,100,0.05,11,1,3.514559958013706
sss,150000,0.02,100,0.05,12,1,3.535835542017594
sss,150000,0.02,100,0.05,13,1,3.5491924160160124
sss,150000,0.02,100,0.05,14,1,3.4997817910043523
sss,150000,0.02,100,0.05,15,1,3.470139208016917
sss,150000,0.02,100,0.05,16,1,3.5579571669222787
sss,150000,0.02,100,0.05,17,1,3.5393553329631686
sss,150000,0.02,100,0.05,18,1,3.497884750016965
sss,150000,0.02,100,0.05,19,1,3.5060716659063473
sss,300000,0.03,100,0.05,0,1,7.235371874994598
sss,300000,0.03,100,0.05,1,1,6.920851500006393
sss,300000,0.03,100,0.05,2,1,7.010164374951273
sss,300000,0.03,100,0.05,3,1,6.943028667010367
sss,300000,0.03,100,0.05,4,1,6.973245249944739
sss,300000,0.03,100,0.05,5,1,6.95002712495625
sss,300000,0.03,100,0.05,6,1,6.991192749934271
sss,300000,0.03,100,0.05,7,1,6.9637546660378575
sss,300000,0.03,100,0.05,8,1,7.024658250040375
sss,300000,0.03,100,0.05,9,1,6.963426666916348
sss,300000,0.03,100,0.05,10,1,6.982347874902189
sss,300000,0.03,100,0.05,11,1,6.987235457985662
sss,300000,0.03,100,0.05,12,1,7.255720083019696
sss,300000,0.03,100,0.05,13,1,7.158264041994698
sss,300000,0.03,100,0.05,14,1,7.047717832960188
sss,300000,0.03,100,0.05,15,1,7.004889040952548
sss,300000,0.03,100,0.05,16,1,7.077904375037178
sss,300000,0.03,100,0.05,17,1,7.819062125054188
sss,300000,0.03,100,0.05,18,1,7.321414917008951
sss,300000,0.03,100,0.05,19,1,7.4593247909797356
sss,400000,0.03,100,0.05,0,1,11.16364345792681
sss,400000,0.03,100,0.05,1,1,10.906905374955386
sss,400000,0.03,100,0.05,2,1,11.01545950002037
sss,400000,0.03,100,0.05,3,1,10.924871333991177
sss,400000,0.03,100,0.05,4,1,10.864102124935016
sss,400000,0.03,100,0.05,5,1,10.914906332967803
sss,400000,0.03,100,0.05,6,1,11.10172654199414
sss,400000,0.03,100,0.05,7,1,10.991090958938003
sss,400000,0.03,100,0.05,8,1,10.828183291014284
sss,400000,0.03,100,0.05,9,1,11.21863720798865
sss,400000,0.03,100,0.05,10,1,11.046735208015889
sss,400000,0.03,100,0.05,11,1,10.901539959013462
sss,400000,0.03,100,0.05,12,1,10.920200458029285
sss,400000,0.03,100,0.05,13,1,11.093860458000563
sss,400000,0.03,100,0.05,14,1,11.057127832900733
sss,400000,0.03,100,0.05,15,1,11.099766250001267
sss,400000,0.03,100,0.05,16,1,11.07020133396145
sss,400000,0.03,100,0.05,17,1,11.402499084011652
sss,400000,0.03,100,0.05,18,1,10.994820249965414
sss,400000,0.03,100,0.05,19,1,10.911708540981635
