method,n,alpha,B,delta,Z,rejection_rate,ci_low,ci_high,avg_runtime
sss,1000,0.01,100,0.05,100,0.06,0.03625131582592417,0.08374868417407583,0.01598046291619539
sss,2000,0.01,100,0.05,100,0.05,0.028205505282296636,0.07179449471770337,0.042284645042382184
sss,5000,0.01,100,0.05,100,0.11,0.07871102430567598,0.14128897569432403,0.12802117251325398
sss,10000,0.01,100,0.05,100,0.11,0.07871102430567598,0.14128897569432403,0.2504823641781695
sss,20000,0.01,100,0.05,100,0.07,0.04448529835565386,0.09551470164434615,0.46963761960505507
sss,50000,0.01,100,0.05,100,0.16,0.12333939444035329,0.1966606055596467,1.2461482450121548
sss,100000,0.01,100,0.05,100,0.26,0.21613657560107738,0.3038634243989226,3.103585970432032
sss,200000,0.01,100,0.05,100,0.45,0.400250628144669,0.499749371855331,5.708710664174287
sss,300000,0.01,100,0.05,100,0.75,0.7066987298107781,0.7933012701892219,9.57723062703153
sss,400000,0.01,100,0.05,100,0.8,0.76,0.8400000000000001,14.840459383329144
sss,500000,0.01,100,0.05,100,0.94,0.9162513158259241,0.9637486841740758,19.69428106334992
sss,600000,0.01,100,0.05,100,0.97,0.952941277890768,0.987058722109232,22.79161061004037
sss,700000,0.01,100,0.05,100,0.99,0.9800501256289338,0.9999498743710662,27.133400863361313
sss,1000,0.03,100,0.05,100,0.04,0.020404082057734578,0.059595917942265424,0.016068641229066996
sss,2000,0.03,100,0.05,100,0.09,0.06138182395749163,0.11861817604250836,0.04308387713506818
sss,5000,0.03,100,0.05,100,0.14,0.10530129685420507,0.17469870314579494,0.13189322366961279
sss,10000,0.03,100,0.05,100,0.21,0.1692691762911674,0.2507308237088326,0.248479508375749
sss,20000,0.03,100,0.05,100,0.48,0.4300400160128128,0.5299599839871871,0.47005814296309834
sss,50000,0.03,100,0.05,100,0.93,0.9044852983556539,0.9555147016443462,1.2536724157992285
sss,100000,0.03,100,0.05,100,0.99,0.9800501256289338,0.9999498743710662,2.9994294250383975
sss,150000,0.03,100,0.05,100,1.0,1.0,1.0,4.515596168362536
sss,200000,0.03,100,0.05,100,1.0,1.0,1.0,5.904403646638384
sss,300000,0.03,100,0.05,100,1.0,1.0,1.0,9.455240053696325
sss,400000,0.03,100,0.05,100,1.0,1.0,1.0,15.106301847548457
sss,500000,0.03,100,0.05,100,1.0,1.0,1.0,19.75981483718264
sss,1000,0.1,100,0.05,100,0.19,0.15076990950813393,0.22923009049186607,0.016345670389709993
sss,2000,0.1,100,0.05,100,0.46,0.4101602568224916,0.5098397431775085,0.0427209054667037
sss,5000,0.1,100,0.05,100,0.89,0.858711024305676,0.921288975694324,0.13252829748438671
sss,10000,0.1,100,0.05,100,1.0,1.0,1.0,0.24541596201132052
sss,20000,0.1,100,0.05,100,1.0,1.0,1.0,0.4717030328977853
