method,n,alpha,B,delta,Z,rejection_rate,ci_low,ci_high,avg_runtime
exact_sample,1000,0.1,100,0.05,5,0.2,0.03622316096978745,0.6244717358814613,1.2489282168215141
exact_sample,2000,0.1,100,0.05,5,0.6,0.23071993220883708,0.8823817688407467,5.269136225036346
exact_sample,5000,0.1,100,0.05,5,0.8,0.3755282641185388,0.9637768390302125,34.14238564176485
exact_sample,10000,0.1,100,0.05,5,1.0,0.5655085052479191,1.0,138.48339896663092
exact_sample,1000,0.03,100,0.05,5,0.0,0.0,0.43449149475208104,1.2773769079940394
exact_sample,2000,0.03,100,0.05,5,0.0,0.0,0.43449149475208104,5.409779241983779
exact_sample,5000,0.03,100,0.05,5,0.0,0.0,0.43449149475208104,34.70018067497294
exact_sample,10000,0.03,100,0.05,5,0.0,0.0,0.43449149475208104,139.07901070837397
exact_sample,20000,0.03,100,0.05,5,1.0,0.5655085052479191,1.0,553.7637362997979
exact_sample,50000,0.03,100,0.05,5,0.6,0.23071993220883708,0.8823817688407467,3427.3602068416076
